Name,Type,Address,City,State,Zip Code,Accepts Food Donations?,Website,Unique ID,Latitude,Longitude,Approximate distance,x,y
Wesley UMC,Food Pantry,301 37th Avenue North,St. Petersburg,FL,33704,,www.wesleystpete.org/food-pantry-thrift-store-aa-more,,27.806097,-82.637498,0 km,-9199164.198,3224548.93
Bethel Metro Food Pantry,Food Pantry,3455 26th Avenue South,St. Petersburg,FL,33711,,,,27.745376,-82.680640,0 km,-9203966.777,3216909.291
Saint Stefanos Greek Orthodox Church,Food Pantry,3600 76th Street North,St. Petersburg,FL,33710,,www.ststefanos.org/ministries/community-enrichment-ministries,,27.804818,-82.744103,0 km,-9211031.379,3224387.992
Clearview United Methodist Church,Food Pantry,4515 38th Avenue North,St. Petersburg,FL,33713,Yes,clearviewumc.org,,27.807136,-82.694446,0 km,-9205503.62,3224679.69
St. Petersburg Free Clinic - We Help,Food Pantry,863 3rd Ave North,St. Petersburg,FL,33701,Unsure,stpetersburgfreeclinic.org/food-hygiene/,,27.775540,-82.646065,0 km,-9200117.916,3220703.905
Bradford Ecumenical Ministries,Food Pantry,2226 North Temple Avenue,Starke,FL,32091,Unsure,,,29.966847,-82.102584,0 km,-9139617.833,3499289.007
True Vine Ministry Inc.,Food Pantry,422 Saint Clair Street,Starke,FL,32091,,rightservicefl.org/node/17059,,29.947012,-82.103559,0 km,-9139726.391,3496740.547
Starke Church Of God By Faith,Food Pantry,730 Old Lawtey Road,Starke,FL,32091,No,starkechurch.org/upcoming-events,,29.950630,-82.098030,0 km,-9139110.884,3497205.342
Sowers Of The Seed,Food Pantry,804 1st. Ave. SE,Steinhatchee,FL,32359,No,www.sowersoftheseed.net/,,29.672522,-83.381182,0 km,-9281950.678,3461524.685
Star Of The Sea Outreach Mission,Food Pantry,5640 Maloney Avenue,Stock Island,FL,33040,Yes,www.sosfoundation.org/food-pantries,,24.572514,-81.736802,0 km,-9098899.122,2823328.269
Redeemer Lutheran,Soup Kitchen,2450 Southeast Ocean Boulevard,Stuart,FL,34996,,,,27.194927,-80.219322,0 km,-8929974.021,3147846.506
Harbor Network,Food Pantry,618 Southeast Central Parkway,Stuart,FL,34994,,www.mhairc.org/drop-in-centers,,27.179912,-80.245383,0 km,-8932875.118,3145967.376
Salvation Army - Mc,Food Pantry,821 Southeast Martin Luther King Junior Boulevard,Stuart,FL,34994,,martincounty.salvationarmyflorida.org/,,27.194520,-80.240023,0 km,-8932278.535,3147795.544
Hands Of Hope Community Development,Food Pantry,828 Southeast Nassau Avenue,Stuart,FL,34994,,,,27.191807,-80.241999,0 km,-8932498.447,3147456.03
Sunrise Church Of God Of Prophecy,Food Pantry,7730 W Oakland Park Blvd,Sunrise,FL,33351,No,www.sunrisecogop.org/Ministries.html,,26.165650,-80.252301,0 km,-8933645.249,3019611.888
Second Harvest of the Big Bend,Food Bank,4446 Entrepot Blvd,Tallahassee,FL,32310,,www.fightinghunger.org,,30.401075,-84.325486,0 km,-9387070.168,3555209.118
The Frontline Project,Food Pantry,1200 Harlem Street,Tallahassee,FL,32304,No,fightinghunger.org/find-a-food-pantry/,,30.455483,-84.304018,0 km,-9384680.3,3562233.291
Anderson Chapel Ame Church,Food Pantry,1307 Harlem Street,Tallahassee,FL,32304,No,fightinghunger.org/find-a-food-pantry/,,30.456671,-84.302993,0 km,-9384566.242,3562386.707
A New Day Initiative,Food Pantry,1317 High Road,Tallahassee,FL,32304,Unsure,www.facebook.com/truthgatherers,,30.458796,-84.312666,0 km,-9385643.002,3562661.143
Fernwood Baptist Church,Food Pantry,1324 Fernwood Road,Tallahassee,FL,32304,No,www.fernwoodbaptist.com,,30.456213,-84.380201,0 km,-9393161.053,3562327.549
Catholic Charities,Food Pantry,1380 Blountstown hwy,Tallahassee,FL,32304,Unsure,ccnwfl.org/emergency-assistance/,,30.455332,-84.345745,0 km,-9389325.417,3562213.843
Victory House,Food Pantry,1478 Chaires Cross Road,Tallahassee,FL,32317,,www.victoryhousecrc.org/food-distribution,,30.485453,-84.125751,0 km,-9364835.808,3566104.149
Mt. Pisgah Ame Church,Food Pantry,2009 Tram Road,Tallahassee,FL,32311,,mtpisgahame.org/,,30.384234,-84.243644,0 km,-9377959.53,3553035.775
Holy Comforter Episcopal,Food Pantry,2015 Fleischmann Road,Tallahassee,FL,32308,,www.hc-ec.org/,,30.480476,-84.222898,0 km,-9375650.163,3565461.289
Cesc,Soup Kitchen,2650 Municipal Way,Tallahassee,FL,32304,No,kearneycenter.org/need-help/#services,,30.440412,-84.331115,0 km,-9387696.746,3560287.249
Big Bend Homeless Coalition,Soup Kitchen,2729 West Pensacola Street,Tallahassee,FL,32304,,familypromisebigbend.org/what-we-do/,,30.440756,-84.332841,0 km,-9387888.884,3560331.653
Freedom Church,Food Pantry,2797 Thomasville Rd,Tallahassee,FL,32308,,www.freedomchurch.life/ministries/community-impact,,30.478170,-84.259075,0 km,-9379677.29,3565163.412
